"title","image","price","url"
"Hostels Meetingpoint","https://cf.bstatic.com/xdata/images/hotel/square600/59819260.webp?k=7c100a3fd8b66b6a8f48f26f0464e66b6c7a0ce5f8dde8d2693d39e35896f9b2&o=&s=1","MAD 351","https://www.booking.com/hotel/es/meetingpoint.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=37127304_370055648_0_0_0%2C37127308_370055648_0_0_0&highlighted_blocks=37127304_370055648_0_0_0%2C37127308_370055648_0_0_0&matching_block_id=37127304_370055648_0_0_0&sr_pri_blocks=37127304_370055648_0_0_0__2000%2C37127308_370055648_0_0_0__2400&from=searchresults#hotelTmpl"
"The Central House Madrid Lavapiés","https://cf.bstatic.com/xdata/images/hotel/square600/294410190.webp?k=ef853014c6b9b99389465f6425b7fdad1147c79bcb6d62a71054de64626591c1&o=&s=1","MAD 378","https://www.booking.com/hotel/es/the-central-house-lavapies.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=596685401_365581466_1_2_0%2C596685401_365581466_1_2_0&highlighted_blocks=596685401_365581466_1_2_0%2C596685401_365581466_1_2_0&matching_block_id=596685401_365581466_1_2_0&sr_pri_blocks=596685401_365581466_1_2_0__2600%2C596685401_365581466_1_2_0__2600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Hostel Best Stay","https://cf.bstatic.com/xdata/images/hotel/square600/444941999.webp?k=6a2a06ec97c3d2b4fd357859d68e3ce86b5f5d37afee189ec1a9270d073488ee&o=&s=1","MAD 778","https://www.booking.com/hotel/es/albergue-best-stay.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=983474401_370781200_0_0_0%2C983474401_370781200_0_0_0&highlighted_blocks=983474401_370781200_0_0_0%2C983474401_370781200_0_0_0&matching_block_id=983474401_370781200_0_0_0&sr_pri_blocks=983474401_370781200_0_0_0__2400%2C983474401_370781200_0_0_0__2400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"HOSTAL LA ESTACION TERRAZAS","https://cf.bstatic.com/xdata/images/hotel/square600/444784758.webp?k=2a4ab9324a6be2af4bd22aebad3f45f15d3bd60ae41ab1f23ff88fd72c155145&o=&s=1","MAD 844","https://www.booking.com/hotel/es/hostal-la-estacion-terrazas.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=983666709_370796224_1_0_0%2C983666701_370796224_1_0_0&highlighted_blocks=983666709_370796224_1_0_0%2C983666701_370796224_1_0_0&matching_block_id=983666709_370796224_1_0_0&sr_pri_blocks=983666709_370796224_1_0_0__8460%2C983666701_370796224_1_0_0__9900&from=searchresults#hotelTmpl"
"Axel Hotel Madrid - Adults Only","https://cf.bstatic.com/xdata/images/hotel/square600/269377457.webp?k=36c1998bdae09a9a25b06decb4aed97d29a57e341cf2e769a1b6e1abd5b46fae&o=&s=1","MAD 489","https://www.booking.com/hotel/es/axel-madrid-madrid12345678.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=243898501_260229424_1_1_0%2C243898501_260229424_1_1_0&highlighted_blocks=243898501_260229424_1_1_0%2C243898501_260229424_1_1_0&matching_block_id=243898501_260229424_1_1_0&sr_pri_blocks=243898501_260229424_1_1_0__21400%2C243898501_260229424_1_1_0__21400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Senator Barajas","https://cf.bstatic.com/xdata/images/hotel/square600/110812706.webp?k=d4571ac82fda81e4526c7dcb16c2297337939785acb7c5fbc6c406f84a538e63&o=&s=1","MAD 578","https://www.booking.com/hotel/es/senator-barajas.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=9171913_185612883_0_2_0%2C9171913_185612883_0_2_0&highlighted_blocks=9171913_185612883_0_2_0%2C9171913_185612883_0_2_0&matching_block_id=9171913_185612883_0_2_0&sr_pri_blocks=9171913_185612883_0_2_0__10800%2C9171913_185612883_0_2_0__10800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Ibis Budget Madrid Centro Las Ventas","https://cf.bstatic.com/xdata/images/hotel/square600/248239083.webp?k=e1a48cb3ce6e32fee4072ed0172aeb634266920bad11820cc18bc44cbc53da15&o=&s=1","MAD 667","https://www.booking.com/hotel/es/ibis-budget-madrid-centro-las-ventas.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=73403801_246120415_1_1_0%2C73403801_246120415_1_1_0&highlighted_blocks=73403801_246120415_1_1_0%2C73403801_246120415_1_1_0&matching_block_id=73403801_246120415_1_1_0&sr_pri_blocks=73403801_246120415_1_1_0__8590%2C73403801_246120415_1_1_0__8590&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Caballero Errante","https://cf.bstatic.com/xdata/images/hotel/square600/412599355.webp?k=608baa75c54442bd78acb94311625cb64f0c9b4b7dc12a03b8f260c8f8aef17e&o=&s=1","MAD 534","https://www.booking.com/hotel/es/hotelcaballeroerrante.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=9175112_334137638_0_0_0%2C9175112_334137638_0_0_0&highlighted_blocks=9175112_334137638_0_0_0%2C9175112_334137638_0_0_0&matching_block_id=9175112_334137638_0_0_0&sr_pri_blocks=9175112_334137638_0_0_0__9000%2C9175112_334137638_0_0_0__9000&from=searchresults#hotelTmpl"
"Hostel Napoles","https://cf.bstatic.com/xdata/images/hotel/square600/333345972.webp?k=f14deeba2814c765c254b287e67f56918f6d9a967b4aad34b8ef5cb40151682a&o=&s=1","MAD 534","https://www.booking.com/hotel/es/hostel-napoles.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=789764001_338663639_1_0_0%2C789764001_338663639_1_0_0&highlighted_blocks=789764001_338663639_1_0_0%2C789764001_338663639_1_0_0&matching_block_id=789764001_338663639_1_0_0&sr_pri_blocks=789764001_338663639_1_0_0__1035%2C789764001_338663639_1_0_0__1035&from=searchresults#hotelTmpl"
"Erase un Hotel","https://cf.bstatic.com/xdata/images/hotel/square600/250175147.webp?k=f92e1e1b974e8187d814665ed0735d035ca332fbe940b53932b27f2b29bde8d6&o=&s=1","MAD 2 041","https://www.booking.com/hotel/es/eraseunhotel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaIwBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALqtpKiBsACAdICJDYyOTQzMjFjLTFhZmEtNDEwZS05ZTA0LTQ4MjdjMzM3YWJjOdgCBeACAQ&sid=fa3edb0416f578ce5595545b175cfea0&aid=304142&ucfs=1&arphpl=1&checkin=2023-04-27&checkout=2023-04-28&dest_id=-390625&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4fc41352794f0158&srepoch=1682217895&all_sr_blocks=9066614_199326167_1_2_0%2C9066614_199326167_1_2_0&highlighted_blocks=9066614_199326167_1_2_0%2C9066614_199326167_1_2_0&matching_block_id=9066614_199326167_1_2_0&sr_pri_blocks=9066614_199326167_1_2_0__9500%2C9066614_199326167_1_2_0__9500&from=searchresults#hotelTmpl"
